iter	Passed	Remaining
713	4100	1642
714	4105	1636
715	4111	1630
716	4117	1625
717	4123	1619
718	4129	1613
719	4134	1607
720	4140	1602
721	4146	1596
722	4152	1590
723	4157	1584
724	4163	1579
725	4170	1574
726	4176	1568
727	4182	1562
728	4188	1556
729	4193	1550
730	4198	1545
731	4204	1539
732	4210	1533
733	4216	1527
734	4221	1522
735	4227	1516
736	4232	1510
737	4238	1504
738	4244	1498
739	4249	1493
740	4255	1487
741	4261	1481
742	4266	1475
743	4272	1469
744	4278	1464
745	4283	1458
746	4289	1452
747	4295	1447
748	4300	1441
749	4306	1435
750	4312	1429
751	4317	1423
752	4323	1418
753	4328	1412
754	4333	1406
755	4340	1400
756	4345	1394
757	4350	1389
758	4356	1383
759	4362	1377
760	4367	1371
761	4374	1366
762	4385	1362
763	4393	1357
764	4401	1352
765	4409	1346
766	4416	1341
767	4436	1340
768	4444	1335
769	4450	1329
770	4455	1323
771	4461	1317
772	4467	1311
773	4473	1306
774	4478	1300
775	4485	1294
776	4492	1289
777	4497	1283
778	4503	1277
779	4509	1271
780	4515	1266
781	4521	1260
782	4526	1254
783	4531	1248
784	4537	1242
785	4543	1236
786	4548	1230
787	4554	1225
788	4559	1219
789	4564	1213
790	4570	1207
791	4576	1201
792	4582	1196
793	4588	1190
794	4594	1184
795	4601	1179
796	4606	1173
797	4611	1167
798	4618	1161
799	4624	1156
800	4631	1150
801	4637	1144
802	4642	1138
803	4648	1133
804	4655	1127
805	4660	1121
806	4666	1116
807	4672	1110
808	4677	1104
809	4684	1098
810	4690	1092
811	4695	1087
812	4701	1081
813	4707	1075
814	4714	1070
815	4720	1064
816	4726	1058
817	4732	1052
818	4738	1047
819	4744	1041
820	4749	1035
821	4754	1029
822	4760	1023
823	4766	1018
824	4772	1012
825	4777	1006
826	4783	1000
827	4789	994
828	4795	989
829	4801	983
830	4806	977
831	4812	971
832	4818	965
833	4823	960
834	4830	954
835	4835	948
836	4841	942
837	4846	936
838	4852	931
839	4857	925
840	4862	919
841	4868	913
842	4874	907
843	4880	902
844	4886	896
845	4892	890
846	4898	884
847	4904	879
848	4910	873
849	4916	867
850	4922	861
851	4928	856
852	4934	850
853	4940	844
854	4945	838
855	4950	832
856	4956	826
857	4961	821
858	4967	815
859	4974	809
860	4979	803
861	4985	798
862	4992	792
863	4997	786
864	5002	780
865	5009	775
866	5015	769
867	5021	763
868	5026	757
869	5032	752
870	5038	746
871	5045	740
872	5050	734
873	5056	728
874	5062	723
875	5067	717
876	5073	711
877	5078	705
878	5084	699
879	5090	694
880	5097	688
881	5101	682
882	5107	676
883	5113	671
884	5118	665
885	5124	659
886	5130	653
887	5136	647
888	5141	642
889	5149	636
890	5155	630
891	5160	624
892	5165	618
893	5172	613
894	5178	607
895	5184	601
896	5189	595
897	5195	590
898	5201	584
899	5207	578
900	5213	572
901	5219	567
902	5225	561
903	5231	555
904	5237	549
905	5243	544
906	5249	538
907	5255	532
908	5261	526
909	5266	520
910	5273	515
911	5278	509
912	5285	503
913	5291	497
914	5298	492
915	5304	486
916	5310	480
917	5315	474
918	5320	468
919	5325	463
920	5331	457
921	5337	451
922	5342	445
923	5349	440
924	5355	434
925	5361	428
926	5366	422
927	5373	416
928	5378	411
929	5384	405
930	5389	399
931	5394	393
932	5400	387
933	5405	381
934	5410	376
935	5416	370
936	5422	364
937	5429	358
938	5435	353
939	5440	347
940	5446	341
941	5452	335
942	5458	329
943	5463	324
944	5469	318
945	5474	312
946	5481	306
947	5487	301
948	5493	295
949	5499	289
950	5505	283
951	5510	277
952	5516	272
953	5521	266
954	5527	260
955	5533	254
956	5539	248
957	5544	243
958	5550	237
959	5556	231
960	5562	225
961	5568	219
962	5573	214
963	5579	208
964	5585	202
965	5591	196
966	5597	191
967	5603	185
968	5608	179
969	5614	173
970	5619	167
971	5625	162
972	5632	156
973	5638	150
974	5644	144
975	5650	138
976	5656	133
977	5662	127
978	5667	121
979	5673	115
980	5679	109
981	5684	104
982	5689	98
983	5695	92
984	5701	86
985	5706	81
986	5712	75
987	5717	69
988	5723	63
989	5729	57
990	5735	52
991	5741	46
992	5747	40
993	5752	34
994	5758	28
995	5763	23
996	5770	17
997	5776	11
998	5782	5
999	5787	0
